Tensors_:0,Tensors_:1,Tensors_:2,Tensors_:3,Tensors_:4,Tensors_:5,Tensors_:6,Tensors_:7,Tensors_:8,Points:0,Points:1,Points:2
0.49999988,1.08035046e-07,7.308311e-08,1.08035046e-07,0.50000036,-3.914422e-08,7.308311e-08,-3.914422e-08,0.49999976,12,9,0
0.49999586,2.3978278e-06,2.175069e-06,2.3978278e-06,0.500012,-3.1152028e-06,2.175069e-06,-3.1152028e-06,0.49999216,13,9,0
0.49993578,1.6038126e-05,3.360909e-05,1.6038126e-05,0.50017333,-7.050361e-05,3.360909e-05,-7.050361e-05,0.4998909,14,9,0
0.49945313,-3.909505e-05,0.000340986,-3.909505e-05,0.5013919,-0.0007755405,0.000340986,-0.0007755405,0.49915496,15,9,0
0.49705377,-0.0012687928,0.002517679,-0.0012687928,0.507248,-0.005220936,0.002517679,-0.005220936,0.4956982,16,9,0
0.48963907,-0.009455659,0.013644673,-0.009455659,0.52592826,-0.023609148,0.013644673,-0.023609148,0.48443267,17,9,0
0.4785393,-0.03915331,0.05193567,-0.03915331,0.56183916,-0.071557775,0.05193567,-0.071557775,0.45962155,18,9,0
0.48342276,-0.09674751,0.13017647,-0.09674751,0.5905508,-0.13863201,0.13017647,-0.13863201,0.42602646,19,9,0
0.6615722,-0.1493057,0.2763088,-0.1493057,0.47270587,-0.09364756,0.2763088,-0.09364756,0.3657219,22,9,0
0.7322457,-0.11938392,0.26860604,-0.11938392,0.4286899,-0.033655915,0.26860604,-0.033655915,0.33906442,23,9,0
0.79861414,-0.07425488,0.23489663,-0.07425488,0.39165068,0.027465334,0.23489663,0.027465334,0.30973518,24,9,0
0.850926,-0.012574932,0.17293009,-0.012574932,0.3607213,0.079157755,0.17293009,0.079157755,0.2883527,25,9,0
0.87531835,0.06385212,0.089482516,0.06385212,0.33962685,0.1073469,0.089482516,0.1073469,0.2850548,26,9,0
0.8624852,0.14316595,0.00011389806,0.14316595,0.3356471,0.10330265,0.00011389806,0.10330265,0.30186775,27,9,0
0.81584567,0.20827673,-0.08131625,0.20827673,0.34967187,0.07149035,-0.08131625,0.07149035,0.33448243,28,9,0
0.7441974,0.24556173,-0.14725359,0.24556173,0.37398067,0.023901906,-0.14725359,0.023901906,0.38182193,29,9,0
0.6163914,0.18304214,-0.14040254,0.18304214,0.42496297,-0.018694801,-0.14040254,-0.018694801,0.45864558,30,9,0
0.49999982,2.6438125e-05,-2.9200104e-05,2.6438125e-05,0.49998802,-1.1936049e-05,-2.9200104e-05,-1.1936049e-05,0.50001216,32,9,0
0.49999997,3.4074755e-08,9.314769e-09,3.4074755e-08,0.50000006,-2.2845468e-08,9.314769e-09,-2.2845468e-08,0.49999994,12,10,0
