"V:0","V:1","V:2","Points:0","Points:1","Points:2"
-10.834,-8.6163,-12.691,-3.2159,2.6984,0
-12.823,-15.282,6.0993e-24,-2.9186,2.449,-0.28798
-10.421,-10.717,-12.355,-3.2159,2.6984,-0.28798
-9.9746,-17.276,-0.12941,-3.2996,1.905,0
-9.1728,-10.369,-12.691,-3.6356,2.099,0
-9.9746,-17.276,6.0993e-24,-3.2996,1.905,-0.28798
-8.4021,-12.365,-12.355,-3.6356,2.099,-0.28798
-6.823,-18.746,-0.1294,-3.5802,1.3031,0
-7.2308,-11.806,-12.689,-3.9448,1.4358,0
-6.823,-18.746,6.0993e-24,-3.5802,1.3031,-0.28798
-6.127,-13.636,-12.354,-3.9448,1.4358,-0.28798
-3.4641,-19.646,-0.12939,-3.7521,0.6616,0
-5.0699,-12.882,-12.689,-4.1342,0.72898,0
-3.4641,-19.646,6.0993e-24,-3.7521,0.6616,-0.28798
-3.6658,-14.493,-12.354,-4.1342,0.72898,-0.28798
1.5061e-13,-19.949,-0.12939,-3.81,-2.8764e-14,0
-2.756,-13.566,-12.689,-4.198,-1.478e-14,0
1.5114e-13,-19.949,6.0993e-24,-3.81,-2.8866e-14,-0.28798
-1.0934,-14.909,-12.354,-4.198,-1.435e-14,-0.28798
3.4641,-19.646,-0.12939,-3.7521,-0.6616,0
-0.35852,-13.838,-12.689,-4.1342,-0.72898,0
3.4641,-19.646,6.0993e-24,-3.7521,-0.6616,-0.28798
1.512,-14.872,-12.354,-4.1342,-0.72898,-0.28798
6.823,-18.746,-0.1294,-3.5802,-1.3031,0
2.0485,-13.689,-12.69,-3.9448,-1.4358,0
6.823,-18.746,6.0993e-24,-3.5802,-1.3031,-0.28798
4.0712,-14.383,-12.355,-3.9448,-1.4358,-0.28798
9.9746,-17.276,-0.12941,-3.2996,-1.905,0
4.3924,-13.127,-12.691,-3.6356,-2.099,0
9.9746,-17.276,6.0993e-24,-3.2996,-1.905,-0.28798
6.5067,-13.458,-12.355,-3.6356,-2.099,-0.28798
12.823,-15.282,-0.12942,-2.9186,-2.449,0
6.605,-12.167,-12.692,-3.2159,-2.6984,0
12.823,-15.282,6.0993e-24,-2.9186,-2.449,-0.28798
8.7452,-12.125,-12.355,-3.2159,-2.6984,-0.28798
15.282,-12.823,-0.12941,-2.449,-2.9186,0
8.6197,-10.835,-12.691,-2.6984,-3.2159,0
15.282,-12.823,6.0993e-24,-2.449,-2.9186,-0.28798
10.719,-10.422,-12.355,-2.6984,-3.2159,-0.28798
17.276,-9.9746,-0.1294,-1.905,-3.2996,0
10.372,-9.173,-12.69,-2.099,-3.6356,0
17.276,-9.9746,6.0993e-24,-1.905,-3.2996,-0.28798
12.366,-8.4026,-12.354,-2.099,-3.6356,-0.28798
18.746,-6.823,-0.12939,-1.3031,-3.5802,0
11.807,-7.2311,-12.688,-1.4358,-3.9448,0
18.746,-6.823,6.0993e-24,-1.3031,-3.5802,-0.28798
13.637,-6.1273,-12.353,-1.4358,-3.9448,-0.28798
19.646,-3.4641,-0.12938,-0.6616,-3.7521,0
19.646,-3.4641,6.0993e-24,-0.6616,-3.7521,-0.28798
19.949,0,-0.12938,0,-3.81,0
19.949,0,6.0993e-24,0,-3.81,-0.28798
-6.4734,-0.68255,-20.096,-1.7012,4.674,0
-6.8767,-1.4399,-21.063,-1.7012,4.674,-0.28798
-6.2564,-1.7954,-20.098,-2.487,4.3076,0
-6.522,-2.6117,-21.064,-2.487,4.3076,-0.28798
-5.8506,-2.8544,-20.099,-3.1972,3.8103,0
-5.97,-3.7046,-21.065,-3.1972,3.8103,-0.28798
-5.2675,-3.8282,-20.1,-3.8103,3.1972,0
-5.2371,-4.686,-21.066,-3.8103,3.1972,-0.28798
-4.5231,-4.6866,-20.099,-4.3076,2.487,0
-4.3443,-5.5256,-21.065,-4.3076,2.487,-0.28798
-3.6399,-5.4018,-20.098,-4.674,1.7012,0
-3.3185,-6.1966,-21.064,-4.674,1.7012,-0.28798
-2.646,-5.9513,-20.097,-4.8984,0.86373,0
-2.1918,-6.6784,-21.063,-4.8984,0.86373,-0.28798
-1.5723,-6.3194,-20.097,-4.974,6.227e-14,0
-0.99881,-6.9567,-21.063,-4.974,6.2311e-14,-0.28798
-0.4514,-6.4953,-20.097,-4.8984,-0.86373,0
0.2242,-7.0236,-21.063,-4.8984,-0.86373,-0.28798
0.6826,-6.4746,-20.098,-4.674,-1.7012,0
1.44,-6.8776,-21.064,-4.674,-1.7012,-0.28798
